I feel like I can be myself at work.,My tasks at my work are in line with what I really want to do.,I am free to express my ideas and opinions on my work.,I really master my tasks at work.,I feel competent at work.,I have been able to learn interesting new skills at work.,"At my work, I feel part of a group.","At my work, I can talk with people about things that really matter to me.",People at my work care about me.,"Considering everything, I am satisfied with my work.",The team means a lot to me personally.,"If I could choose, I would continue working in my team one year from now.",I share my ideas with others to improve the team.,The things that I value in life are very similar to the things that the team values.,I feel understood by my supervisor.,My supervisor encourages me to ask questions.,My supervisor listens to how I would like to do things.,I have the opportunity to develop my social network at work.,People I work with are friendly.,The team could do more for me.,My family and friends appreciate the work I do for the team.,I am fairly rewarded considering the responsibilities I have.,I am fairly rewarded for the work I do well.,I feel my work has positive impact on other people.,"At work, I feel strong and vigorous.",I feel emotionally drained from my work.,I feel frustrated by my work.,What year were you born in?,What is your gender?,Team Name
Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Every day,Never,Never,,,IFRC
Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Every day,Almost never,Never,,,IFRC
Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Every day,Almost never,Rarely,,,IFRC
Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Neutral,Neutral,Somewhat agree,Somewhat agree,Somewhat agree,Neutral,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Neutral,Strongly agree,Somewhat agree,Neutral,Neutral,Somewhat agree,Strongly agree,Every day,Never,Never,,,IFRC
Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Every day,Almost never,Almost never,,,IFRC
Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Neutral,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Often,Almost never,Almost never,,,IFRC
Neutral,Somewhat agree,Somewhat agree,Neutral,Neutral,Strongly agree,Somewhat agree,Neutral,Somewhat agree,Neutral,Strongly agree,Somewhat agree,Neutral,Somewhat agree,Neutral,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Often,Very often,Sometimes,,,IFRC
Strongly agree,Strongly disagree,Neutral,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Neutral,Somewhat agree,Somewhat agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Sometimes,Never,Sometimes,,,IFRC
Strongly disagree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Neutral,Neutral,Neutral,Strongly agree,Somewhat agree,Neutral,Strongly agree,Somewhat agree,Neutral,Somewhat agree,Sometimes,Sometimes,Sometimes,,,NSKPD 2021
Neutral,Somewhat agree,Somewhat agree,Neutral,Somewhat agree,Somewhat agree,Neutral,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Often,Very often,Sometimes,,,NSKPD 2021
Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Neutral,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Very often,Rarely,Rarely,,,NSKPD 2021
Somewhat agree,Neutral,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Neutral,Somewhat agree,Neutral,Somewhat agree,Neutral,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neutral,Neutral,Somewhat disagree,Neutral,Neutral,Sometimes,Sometimes,Sometimes,,,NSKPD 2021
Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Very often,Almost never,Almost never,,,NSKPD 2021
Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Neutral,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Every day,Very often,Sometimes,,,NSKPD 2021
Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neutral,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Neutral,Neutral,Somewhat agree,Neutral,Somewhat agree,Neutral,Neutral,Strongly agree,Very often,Sometimes,Often,,,NSKPD 2021
Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Neutral,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neutral,Somewhat agree,Neutral,Strongly agree,Somewhat agree,Every day,Almost never,Never,,,NSKPD 2021
Neutral,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,Neutral,Neutral,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat disagree,Strongly agree,Neutral,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Sometimes,Very often,Every day,,,NSKPD 2021
Neutral,Neutral,Somewhat agree,Somewhat agree,Somewhat agree,Neutral,Somewhat agree,Strongly agree,Somewhat agree,Neutral,Neutral,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Neutral,Somewhat disagree,Strongly agree,Neutral,Neutral,Neutral,Somewhat disagree,Neutral,Sometimes,Sometimes,Sometimes,,,NSKPD 2021
Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Neutral,Somewhat agree,Somewhat agree,Strongly agree,Very often,Sometimes,Rarely,,,NSKPD 2021
Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Neutral,Somewhat agree,Strongly agree,Somewhat agree,Neutral,Strongly agree,Somewhat disagree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Very often,Very often,Sometimes,,,NSKPD 2021
Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Neutral,Strongly agree,Neutral,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Neutral,Neutral,Neutral,Neutral,Somewhat agree,Often,Almost never,Rarely,,,NSKPD 2021
Somewhat agree,Somewhat agree,Neutral,Neutral,Somewhat agree,Somewhat agree,Somewhat agree,Neutral,Somewhat agree,Somewhat agree,Somewhat agree,Neutral,Neutral,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Neutral,Somewhat agree,Neutral,Somewhat agree,Neutral,Sometimes,Never,Sometimes,,,NSKPD 2021
Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neutral,Sometimes,Almost never,Almost never,,,NSKPD 2021
Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Neutral,Strongly agree,Strongly agree,Somewhat agree,Very often,Often,Sometimes,,,NSKPD 2021
Strongly disagree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Neutral,Neutral,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Neutral,Strongly agree,Strongly disagree,Somewhat agree,Neutral,Neutral,Somewhat disagree,Strongly disagree,Strongly agree,Sometimes,Sometimes,Sometimes,,,NSKPD 2021
Somewhat disagree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Neutral,Neutral,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly disagree,Somewhat agree,Strongly agree,Somewhat disagree,Neutral,Neutral,Neutral,Somewhat agree,Often,Rarely,Sometimes,,,NSKPD 2021
Somewhat agree,Neutral,Somewhat agree,Somewhat agree,Somewhat agree,Neutral,Somewhat agree,Somewhat disagree,Somewhat agree,Neutral,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat disagree,Neutral,Somewhat agree,Strongly agree,Somewhat disagree,Strongly agree,Neutral,Strongly disagree,Strongly agree,Strongly agree,Somewhat agree,Rarely,Very often,Very often,,,NSKPD 2021
Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neutral,Somewhat agree,Somewhat agree,Somewhat agree,Neutral,Neutral,Neutral,Strongly agree,Somewhat agree,Somewhat agree,Neutral,Somewhat agree,Neutral,Strongly agree,Neutral,Neutral,Somewhat disagree,Neutral,Somewhat agree,Often,Sometimes,Sometimes,,,NSKPD 2021
Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neutral,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Often,Sometimes,Sometimes,,,NSKPD 2021
Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Very often,Almost never,Rarely,,,NSKPD 2021
Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Neutral,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Neutral,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Often,Rarely,Sometimes,,,NSKPD 2021
Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly agree,Often,Rarely,Sometimes,,,NSKPD 2021
Somewhat agree,Neutral,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Neutral,Somewhat agree,Somewhat agree,Neutral,Neutral,Somewhat agree,Strongly agree,Somewhat agree,Neutral,Somewhat agree,Neutral,Somewhat agree,Somewhat agree,Neutral,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Sometimes,Sometimes,Sometimes,,,NSKPD 2021
Somewhat disagree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Neutral,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat agree,Often,Sometimes,Sometimes,,,NSKPD 2021
Somewhat agree,Neutral,Somewhat agree,Somewhat disagree,Neutral,Neutral,Somewhat agree,Somewhat agree,Neutral,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly disagree,Somewhat disagree,Somewhat agree,Sometimes,Every day,Every day,,,NSKPD 2021
Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Neutral,Neutral,Neutral,Somewhat agree,Neutral,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Neutral,Neutral,Somewhat agree,Somewhat agree,Neutral,Sometimes,Sometimes,Often,,,NSKPD 2021
Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Neutral,Neutral,Neutral,Every day,Never,Never,,,"Cruz Roja Mexicana Delegación Tlalnepantla: Administración, Captación de Fondos, Servicios Generales y Alumnos."
Somewhat disagree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Rarely,Almost never,Almost never,,,"Cruz Roja Mexicana Delegación Tlalnepantla: Administración, Captación de Fondos, Servicios Generales y Alumnos."
Strongly agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat disagree,Neutral,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Often,Almost never,Never,,,"Cruz Roja Mexicana Delegación Tlalnepantla: Administración, Captación de Fondos, Servicios Generales y Alumnos."
Neutral,Somewhat agree,Somewhat agree,Neutral,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neutral,Somewhat agree,Neutral,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Neutral,Neutral,Neutral,Sometimes,Sometimes,Rarely,,,"Cruz Roja Mexicana Delegación Tlalnepantla: Administración, Captación de Fondos, Servicios Generales y Alumnos."
Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat disagree,Neutral,Somewhat agree,Somewhat agree,Neutral,Somewhat agree,Somewhat disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Neutral,Somewhat agree,Neutral,Neutral,Strongly disagree,Somewhat disagree,Somewhat agree,Often,Sometimes,Rarely,,,"Cruz Roja Mexicana Delegación Tlalnepantla: Administración, Captación de Fondos, Servicios Generales y Alumnos."
Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Often,Almost never,Never,,,"Cruz Roja Mexicana Delegación Tlalnepantla: Administración, Captación de Fondos, Servicios Generales y Alumnos."
Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat disagree,Strongly agree,Neutral,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat disagree,Neutral,Somewhat agree,Strongly agree,Strongly agree,Very often,Often,Almost never,,,"Cruz Roja Mexicana Delegación Tlalnepantla: Administración, Captación de Fondos, Servicios Generales y Alumnos."
Neutral,Neutral,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Very often,Sometimes,Sometimes,,,LAZARO CARDENAS 2
Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Very often,Sometimes,Never,,,LAZARO CARDENAS 2
